Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Bid,Bid Volume,Ask,Ask Volume,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.QQQ220413C368000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,368.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,917,0,0.0,302.773,8.74,0.004,0.001,0.0,-1.969,0.0
US.QQQ220413C369000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,369.0,0.0,0,0.0,0,0.02,0.02,0.0,0.0,0.02,232,0,0.0,339.725,9.038,0.006,0.002,0.0,-3.621,0.0
US.QQQ220413C370000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,370.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,1266,0,0.0,326.833,9.331,0.003,0.001,0.0,-1.99,0.0
US.QQQ220413C371000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,371.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,613,0,0.0,338.746,9.626,0.003,0.001,0.0,-2.0,0.0
US.QQQ220413C372000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,372.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,3314,0,0.0,350.585,9.922,0.003,0.001,0.0,-2.009,0.0
US.QQQ220413C373000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,373.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,532,0,0.0,362.353,10.217,0.003,0.001,0.0,-2.019,0.0
US.QQQ220413C374000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,374.0,0.0,0,0.0,0,0.02,0.02,0.0,0.0,0.02,1351,0,0.0,402.626,10.516,0.005,0.001,0.0,-3.719,0.0
US.QQQ220413C375000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,375.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,402,0,0.0,385.681,10.808,0.003,0.0,0.0,-2.036,0.0
US.QQQ220413C376000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,376.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,668,0,0.0,397.245,11.104,0.003,0.0,0.0,-2.044,0.0
US.QQQ220413C377000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,377.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,331,0,0.0,408.746,11.399,0.003,0.0,0.0,-2.052,0.0
US.QQQ220413C378000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,378.0,0.0,0,0.0,0,0.02,0.02,0.0,0.0,0.02,418,0,0.0,451.57,11.698,0.005,0.001,0.0,-3.785,0.0
US.QQQ220413C379000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,379.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,22,0,0.0,431.56,11.99,0.002,0.0,0.0,-2.067,0.0
US.QQQ220413C380000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,380.0,0.0,0,0.0,0,0.02,0.02,0.0,0.0,0.02,745,0,0.0,475.628,12.289,0.005,0.001,0.0,-3.815,0.0
US.QQQ220413C381000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,381.0,0.0,0,0.0,0,0.04,0.04,0.0,0.0,0.04,497,0,0.0,527.95,12.59,0.008,0.001,0.0,-6.974,0.0
US.QQQ220413C382000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,382.0,0.0,0,0.0,0,0.04,0.04,0.0,0.0,0.04,214,0,0.0,540.592,12.885,0.008,0.001,0.0,-7.003,0.0
US.QQQ220413C383000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,383.0,0.0,0,0.0,0,0.03,0.03,0.0,0.0,0.03,19,0,0.0,534.752,13.178,0.006,0.001,0.0,-5.487,0.0
